country,year,unit,value
Vanuatu,2014,1000 persons,264000.0
Vanuatu,2019,1000 persons,300000.0
Venezuela (Bolivarian Republic of),2014,1000 persons,30043000.0
Venezuela (Bolivarian Republic of),2019,1000 persons,28516000.0
Viet Nam,2014,1000 persons,91714000.0
Viet Nam,2019,1000 persons,96462000.0
Yemen,2014,1000 persons,25823000.0
Yemen,2019,1000 persons,29162000.0
Zambia,2014,1000 persons,15400000.0
Zambia,2019,1000 persons,17861000.0
Zimbabwe,2014,1000 persons,13587000.0
Zimbabwe,2019,1000 persons,14645000.0
